Id,Start time,Completion time,I love,Age Band,Loving Marmite,DMA motivation,Optimistic about future,Favourite movie,Today I am feeling,Way to relax,Hours of sleep,Number of sweets,Duration
41,2025-02-24 13:48:49,2025-02-24 13:51:45,Dog,18 to 24,Don't know what it is,Improve job opportunities,Strongly Agree,Star Wars (1977),Tired,Bath and Bed,2.780634833852779,6.0,0 days 00:02:56
42,2025-02-24 13:48:47,2025-02-24 13:51:48,Both,18 to 24,No,Increase knowledge of subject area,Agree,Toy Story,Happy,Bath and Bed,0.1438259396820406,98.0,0 days 00:03:01
43,2025-02-24 13:48:50,2025-02-24 13:51:49,Cat,18 to 24,Don't know what it is,Increase knowledge of subject area,Neutral,The Shawshank Redemption,Happy,Gym workout,-0.38353583915210704,150.0,0 days 00:02:59
44,2025-02-24 13:48:41,2025-02-24 13:51:51,Cat,18 to 24,Never tried it,Increase knowledge of subject area,Strongly Agree,None of the above,Tired,Gaming,-1.4382593968204025,6.0,0 days 00:03:10
45,2025-02-24 13:48:44,2025-02-24 13:51:52,Both,18 to 24,Don't know what it is,Relevant to my research,Agree,Pulp Fiction,Tired,Gaming,-1.4382593968204025,108.0,0 days 00:03:08
46,2025-02-24 13:51:08,2025-02-24 13:51:53,Cat,18 to 24,Yes,Increase knowledge of subject area,Agree,Toy Story,Happy,Gaming,0.6711877185161883,100.0,0 days 00:00:45
47,2025-02-24 13:48:47,2025-02-24 13:51:54,Cat,18 to 24,Never tried it,Increase knowledge of subject area,Strongly Agree,None of the above,Confused,Gaming,-0.38353583915210704,28.0,0 days 00:03:07
48,2025-02-24 13:48:50,2025-02-24 13:51:56,Cat,18 to 24,Don't know what it is,Relevant to my research,Disagree,None of the above,Happy,Night in with Netflix,1.198549497350336,7.0,0 days 00:03:06
49,2025-02-24 13:48:57,2025-02-24 13:51:57,Both,25 to 30,Don't know what it is,Relevant to my research,Agree,None of the above,Happy,Night in with Netflix,-0.38353583915210704,10.0,0 days 00:03:00
50,2025-02-24 13:48:58,2025-02-24 13:52:03,Dog,18 to 24,Don't know what it is,Increase knowledge of subject area,Agree,None of the above,Happy,Bath and Bed,-0.38353583915210704,10.0,0 days 00:03:05
51,2025-02-24 13:49:55,2025-02-24 13:52:05,Cat,18 to 24,Don't know what it is,Improve job opportunities,Agree,Toy Story,Happy,Bath and Bed,0.6711877185161883,100.0,0 days 00:02:10
52,2025-02-24 13:48:44,2025-02-24 13:52:10,Dog,25 to 30,Don't know what it is,Increase knowledge of subject area,Neutral,None of the above,Tired,Reading a book,-0.38353583915210704,120.0,0 days 00:03:26
53,2025-02-24 13:50:01,2025-02-24 13:52:10,Cat,18 to 24,Don't know what it is,Improve job opportunities,Agree,Toy Story,Happy,Bath and Bed,0.6711877185161883,100.0,0 days 00:02:09
54,2025-02-24 13:48:52,2025-02-24 13:52:11,Neither,18 to 24,Don't know what it is,Improve job opportunities,Neutral,The Shawshank Redemption,Happy,Gaming,-0.38353583915210704,100.0,0 days 00:03:19
55,2025-02-24 13:48:54,2025-02-24 13:52:13,Both,18 to 24,Don't know what it is,Improve job opportunities,Neutral,None of the above,Tired,Gaming,0.6711877185161883,6.0,0 days 00:03:19
56,2025-02-24 13:48:52,2025-02-24 13:52:16,Both,25 to 30,Don't know what it is,Relevant to my research,Neutral,Star Wars (1977),Happy,Gaming,-1.4382593968204025,6.0,0 days 00:03:24
57,2025-02-24 13:48:57,2025-02-24 13:52:19,Neither,18 to 24,Don't know what it is,Improve job opportunities,Disagree,None of the above,Tired,Gaming,-1.4382593968204025,80.0,0 days 00:03:22
58,2025-02-24 13:48:41,2025-02-24 13:52:23,Cat,18 to 24,Don't know what it is,Increase knowledge of subject area,Agree,Star Wars (1977),Happy,Bath and Bed,-0.38353583915210704,6.0,0 days 00:03:42
59,2025-02-24 13:48:44,2025-02-24 13:52:23,Cat,18 to 24,Don't know what it is,Increase knowledge of subject area,Neutral,None of the above,Tired,Gaming,-0.38353583915210704,80.0,0 days 00:03:39
60,2025-02-24 13:48:50,2025-02-24 13:52:23,Both,18 to 24,Don't know what it is,Increase knowledge of subject area,Neutral,The Shawshank Redemption,Tired,Gaming,-0.38353583915210704,110.0,0 days 00:03:33
61,2025-02-24 13:48:54,2025-02-24 13:52:50,Neither,31 to 40,Don't know what it is,Increase knowledge of subject area,Neutral,None of the above,Happy,Gym workout,0.6711877185161883,59.851351351351354,0 days 00:03:56
62,2025-02-24 13:49:42,2025-02-24 13:52:51,Dog,18 to 24,Don't know what it is,Just curious,Neutral,None of the above,Happy,Cooking,-0.38353583915210704,8.0,0 days 00:03:09
63,2025-02-24 13:49:44,2025-02-24 13:53:02,Dog,18 to 24,Don't know what it is,Increase knowledge of subject area,Strongly Agree,None of the above,Happy,Gym workout,0.1438259396820406,7.0,0 days 00:03:18
64,2025-02-24 13:48:51,2025-02-24 13:53:08,Neither,18 to 24,Never tried it,Increase knowledge of subject area,Neutral,The Shawshank Redemption,Tired,Long walk,-1.4382593968204025,100.0,0 days 00:04:17
65,2025-02-24 13:49:08,2025-02-24 13:53:11,Both,18 to 24,Yes,Increase knowledge of subject area,Disagree,None of the above,Tired,Night in with Netflix,-0.38353583915210704,30.0,0 days 00:04:03
